iter	RMSE
0	0.8671630233
1	0.8553880264
2	0.8443713584
3	0.8342362847
4	0.8240634738
5	0.8152206739
6	0.8059477969
7	0.7986389252
8	0.7912737055
9	0.7844011558
10	0.7780364223
11	0.771143493
12	0.7653205194
13	0.7603718436
14	0.7553031145
15	0.7508704969
16	0.7463599546
17	0.7419533236
18	0.7379896084
19	0.7337822347
20	0.7293325352
21	0.7256384421
22	0.7222001118
23	0.7189903544
24	0.7153580573
25	0.7120953399
26	0.7090989833
27	0.7058041844
28	0.7027569219
29	0.7000970562
30	0.6982548005
31	0.6954297704
32	0.6932974054
33	0.6903654845
34	0.6882712834
35	0.6861445238
36	0.6843637456
37	0.6821449537
38	0.6801953113
39	0.6782574542
40	0.6763643694
41	0.6744420248
42	0.6730051829
43	0.6715731276
44	0.6702098622
45	0.6687023339
46	0.6670010223
47	0.6659046084
48	0.6647856371
49	0.6635092667
50	0.6619921631
51	0.6610194752
52	0.6601857078
53	0.6584164295
54	0.656882055
55	0.6551897542
56	0.6542965141
57	0.6530127732
58	0.6519483899
59	0.6510674562
60	0.6502541744
61	0.6496888026
62	0.6488714829
63	0.6481247174
64	0.6473769855
65	0.6464876303
66	0.6460036808
67	0.6449411183
68	0.6444974462
69	0.6439829889
70	0.6428206242
71	0.6422843946
72	0.6417996945
73	0.6412184143
74	0.6404950242
75	0.6397358727
76	0.6392205249
77	0.6388150331
78	0.6380245524
79	0.6374257775
80	0.6370093035
81	0.6363022248
82	0.6350252196
83	0.6345335618
84	0.6340304785
85	0.633512319
86	0.6321405302
87	0.6313077231
88	0.6303528117
89	0.6289815028
90	0.6284407002
91	0.6280261923
92	0.627496058
93	0.6270208436
94	0.6262973801
95	0.6258237586
96	0.6252140548
97	0.6248940164
98	0.624276569
99	0.6232508905
100	0.6229933132
101	0.6224007675
102	0.6216275206
103	0.6215603519
104	0.6211601718
105	0.6207253328
106	0.6203952671
107	0.619630961
108	0.6190470088
109	0.6183691098
110	0.6171935493
111	0.6166831734
112	0.6161880062
113	0.6157697655
114	0.614962377
115	0.6144752397
116	0.6139017672
117	0.613357038
118	0.6129706364
119	0.612504798
120	0.6120393944
121	0.611426659
122	0.6104471163
123	0.6100587757
124	0.6095154676
125	0.6089129454
126	0.6085118377
127	0.6082214727
128	0.6080332145
129	0.6074239878
130	0.6068224069
131	0.6066612796
132	0.6062294214
133	0.6055673945
134	0.6053119979
135	0.6048296329
136	0.6042161613
137	0.6038697244
138	0.6031926571
139	0.6027747099
140	0.6024194293
141	0.6016425594
142	0.6010894573
143	0.6007370583
144	0.6002513
145	0.5999463872
146	0.5992191638
147	0.5984138176
148	0.5979019331
149	0.5972375264
150	0.5965167847
151	0.5962835936
152	0.595476201
153	0.5949217342
154	0.5946836098
155	0.5941075064
156	0.5938031097
157	0.5933913087
158	0.5925529719
159	0.5921282822
160	0.5911598569
161	0.5905356683
162	0.5900513947
163	0.5892429229
164	0.5887459913
165	0.5883782623
166	0.5875773513
167	0.5871839018
168	0.5869966076
169	0.5865235994
170	0.5861331607
171	0.5854965941
