iter	Passed	Remaining
0	146	117347
1	151	60341
2	155	41308
3	160	31888
4	164	26170
5	168	22317
6	173	19613
7	176	17487
8	180	15842
9	183	14513
10	187	13425
11	202	13318
12	206	12495
13	209	11775
14	213	11155
15	217	10643
16	220	10168
17	224	9745
18	227	9359
19	231	9037
20	235	8722
21	238	8436
22	242	8190
23	246	7964
24	250	7752
25	253	7550
26	257	7365
27	260	7195
28	265	7046
29	269	6918
30	276	6847
31	279	6714
32	283	6591
33	287	6468
34	291	6376
35	295	6272
36	299	6175
37	302	6071
38	307	5996
39	311	5920
40	315	5844
41	319	5769
42	323	5696
43	327	5623
44	331	5555
45	334	5490
46	338	5427
47	342	5370
48	347	5319
49	350	5264
50	354	5211
51	358	5161
52	363	5122
53	367	5073
54	370	5022
55	374	4975
56	378	4931
57	382	4889
58	386	4849
59	390	4811
60	394	4773
61	398	4740
62	402	4704
63	407	4680
64	410	4643
65	414	4609
66	417	4572
67	422	4545
68	426	4514
69	430	4484
70	433	4454
71	438	4429
72	442	4402
73	445	4374
74	449	4349
75	454	4333
76	458	4307
77	462	4279
78	466	4253
79	469	4228
80	473	4202
81	477	4176
82	480	4150
83	484	4130
84	488	4107
85	491	4083
86	495	4060
87	499	4040
88	502	4017
89	506	3996
90	510	3974
91	514	3960
92	518	3940
93	521	3919
94	525	3898
95	529	3884
96	533	3865
97	537	3848
98	541	3835
99	546	3822
100	549	3805
101	553	3787
102	557	3772
103	558	3738
104	562	3723
105	566	3708
106	571	3703
107	576	3691
108	579	3676
109	583	3659
110	587	3645
111	590	3630
112	594	3613
113	598	3598
114	602	3586
115	605	3572
116	609	3557
117	612	3541
118	616	3530
119	620	3515
120	624	3502
121	627	3488
122	631	3474
123	634	3460
124	638	3445
125	641	3430
126	644	3417
127	648	3404
128	651	3390
129	655	3375
130	658	3363
131	662	3351
132	665	3337
133	669	3325
134	672	3312
135	675	3300
136	679	3287
137	682	3274
138	686	3262
139	689	3249
140	693	3241
141	697	3229
142	700	3217
143	703	3206
144	707	3196
145	711	3185
146	714	3173
147	717	3162
148	721	3153
149	725	3143
150	728	3132
151	732	3122
152	736	3112
153	740	3104
154	743	3094
155	747	3084
156	750	3073
157	753	3062
158	757	3052
159	760	3042
160	763	3031
161	768	3026
162	771	3016
163	775	3008
164	779	2999
165	783	2990
166	786	2980
167	789	2971
168	793	2962
169	797	2953
170	800	2944
171	803	2935
172	807	2925
173	810	2915
174	813	2906
175	817	2897
176	820	2888
177	823	2878
178	827	2871
179	831	2863
180	834	2854
181	838	2846
182	841	2838
183	844	2826
184	847	2818
185	851	2810
186	854	2801
187	858	2794
188	862	2787
189	865	2779
190	869	2771
191	872	2764
192	876	2756
193	880	2750
194	883	2741
195	887	2734
196	891	2727
197	894	2719
198	897	2711
199	901	2703
200	904	2696
201	908	2688
202	911	2680
203	914	2672
204	918	2664
205	921	2657
206	925	2650
207	928	2642
208	932	2635
209	933	2622
210	936	2615
211	940	2607
212	943	2600
213	946	2592
214	950	2586
215	954	2580
216	957	2573
217	961	2566
218	964	2559
219	968	2553
220	972	2546
221	975	2539
222	979	2534
223	983	2528
224	986	2521
225	990	2515
226	994	2509
227	997	2503
228	1001	2496
229	1004	2488
230	1007	2482
231	1011	2475
232	1014	2469
233	1021	2470
234	1025	2465
235	1028	2457
236	1031	2451
237	1035	2444
238	1038	2438
239	1042	2432
240	1045	2426
241	1049	2420
242	1054	2416
243	1057	2409
244	1061	2404
245	1065	2398
246	1069	2394
247	1073	2388
248	1077	2383
249	1080	2377
250	1084	2372
251	1088	2367
252	1092	2362
253	1096	2357
254	1100	2351
255	1104	2346
256	1107	2340
257	1112	2337
258	1115	2330
259	1119	2324
260	1122	2318
261	1126	2313
262	1130	2307
263	1133	2301
264	1137	2296
265	1141	2292
266	1145	2286
267	1149	2281
268	1152	2275
269	1156	2270
270	1160	2264
271	1164	2259
272	1167	2253
273	1171	2248
274	1174	2242
275	1178	2236
276	1181	2230
277	1184	2225
278	1188	2219
279	1192	2213
280	1195	2208
281	1199	2202
282	1202	2196
283	1205	2190
284	1208	2184
285	1212	2178
286	1215	2173
287	1219	2167
288	1222	2161
289	1226	2156
290	1229	2151
291	1233	2145
292	1236	2139
293	1239	2134
294	1243	2128
295	1247	2124
296	1251	2119
297	1255	2114
298	1259	2109
299	1263	2105
300	1266	2099
301	1270	2094
302	1273	2089
303	1277	2084
304	1281	2079
305	1284	2073
306	1287	2067
307	1291	2062
308	1294	2057
309	1297	2051
310	1301	2045
311	1304	2040
312	1308	2035
313	1311	2030
314	1314	2024
315	1318	2019
316	1322	2014
317	1325	2008
318	1328	2003
319	1332	1998
320	1335	1993
321	1339	1987
322	1342	1982
323	1345	1977
324	1349	1972
325	1353	1967
326	1356	1962
327	1360	1957
328	1363	1952
329	1367	1947
330	1370	1942
331	1374	1937
332	1378	1932
333	1382	1928
334	1385	1923
335	1388	1918
336	1392	1913
337	1395	1907
338	1399	1902
339	1402	1897
340	1405	1892
341	1409	1887
342	1412	1882
343	1416	1877
344	1419	1872
345	1423	1867
346	1426	1862
347	1430	1857
348	1433	1852
349	1437	1847
350	1440	1843
351	1444	1837
352	1445	1830
353	1448	1824
354	1452	1820
355	1456	1815
356	1459	1810
357	1462	1806
358	1466	1801
359	1470	1797
360	1474	1793
361	1477	1788
362	1481	1783
363	1485	1779
364	1488	1774
365	1492	1769
366	1495	1764
367	1499	1760
368	1502	1755
369	1506	1750
370	1510	1746
371	1514	1743
372	1518	1738
373	1522	1734
374	1526	1729
375	1530	1725
376	1534	1721
377	1538	1717
378	1541	1712
379	1545	1708
380	1548	1703
381	1552	1698
382	1555	1693
383	1559	1689
384	1563	1684
385	1566	1680
386	1569	1675
387	1573	1671
388	1577	1666
389	1580	1661
390	1584	1657
391	1587	1652
392	1591	1648
393	1594	1643
394	1598	1638
395	1601	1634
396	1605	1629
397	1608	1624
398	1611	1619
399	1615	1615
400	1619	1611
401	1622	1606
402	1625	1601
403	1629	1596
404	1633	1593
405	1638	1589
406	1641	1585
407	1644	1580
408	1647	1574
409	1651	1570
410	1654	1566
411	1657	1561
412	1661	1557
413	1665	1552
414	1668	1548
415	1672	1543
416	1675	1538
417	1679	1535
418	1683	1530
419	1686	1526
420	1690	1521
421	1694	1517
422	1697	1513
423	1701	1508
424	1704	1504
425	1708	1500
426	1712	1495
427	1715	1491
428	1719	1486
429	1722	1482
430	1726	1477
431	1729	1473
432	1733	1469
433	1736	1464
434	1740	1460
435	1744	1456
436	1748	1452
437	1751	1447
438	1755	1443
439	1758	1439
440	1762	1434
441	1765	1430
442	1769	1425
443	1773	1421
444	1777	1417
445	1780	1413
446	1784	1409
447	1788	1404
448	1791	1400
449	1795	1396
450	1799	1392
451	1803	1388
452	1806	1384
453	1813	1382
454	1817	1378
455	1821	1373
456	1824	1369
457	1828	1365
458	1832	1361
459	1836	1357
460	1839	1352
461	1843	1348
462	1847	1344
463	1850	1340
464	1854	1336
465	1858	1332
466	1862	1328
467	1866	1324
468	1870	1320
469	1874	1315
470	1878	1312
471	1882	1308
472	1885	1303
473	1889	1299
474	1893	1295
475	1896	1290
476	1899	1286
477	1903	1282
478	1907	1278
479	1910	1273
480	1913	1269
481	1917	1265
482	1921	1261
483	1925	1257
484	1929	1252
485	1932	1248
486	1936	1244
487	1940	1240
488	1943	1236
489	1947	1232
490	1950	1227
491	1954	1223
492	1958	1219
493	1961	1214
494	1965	1211
495	1968	1206
496	1972	1202
497	1975	1198
498	1979	1193
499	1982	1189
500	1986	1185
501	1989	1181
502	1993	1177
503	1997	1172
504	2000	1168
505	2004	1164
506	2007	1160
507	2011	1156
508	2014	1151
509	2018	1147
510	2021	1143
511	2025	1139
512	2029	1135
513	2033	1131
514	2036	1127
515	2040	1122
516	2043	1118
517	2047	1114
518	2050	1110
519	2054	1106
520	2057	1102
521	2061	1097
522	2064	1093
523	2068	1089
524	2071	1085
525	2076	1081
526	2081	1078
527	2086	1074
528	2090	1070
529	2095	1067
530	2099	1063
531	2103	1059
532	2106	1055
533	2110	1051
534	2113	1046
535	2117	1042
536	2120	1038
537	2123	1034
538	2127	1030
539	2131	1026
540	2134	1021
541	2137	1017
542	2141	1013
543	2145	1009
544	2148	1005
545	2152	1001
546	2156	997
547	2160	993
548	2163	989
549	2167	985
550	2170	980
551	2174	976
552	2177	972
553	2180	968
554	2184	964
555	2188	960
556	2191	956
557	2195	951
558	2198	947
559	2202	944
560	2206	940
561	2210	935
562	2214	932
563	2217	927
564	2221	923
565	2224	919
566	2228	915
567	2231	911
568	2235	907
569	2238	903
570	2242	899
571	2245	895
572	2249	891
573	2253	887
574	2257	883
575	2260	879
576	2264	875
577	2268	871
578	2271	867
579	2275	863
580	2294	864
581	2298	860
582	2302	856
583	2305	852
584	2310	849
585	2314	845
586	2317	841
587	2321	836
588	2325	833
589	2329	829
590	2333	825
591	2337	821
592	2341	817
593	2345	813
594	2349	809
595	2353	805
596	2357	801
597	2361	797
598	2365	793
599	2369	789
600	2373	785
601	2377	781
602	2380	777
603	2400	778
604	2404	774
605	2407	770
606	2411	766
607	2415	762
608	2420	759
609	2423	754
610	2426	750
611	2431	746
612	2434	742
613	2438	738
614	2441	734
615	2445	730
616	2449	726
617	2453	722
618	2456	718
619	2460	714
620	2464	710
621	2468	706
622	2471	702
623	2476	698
624	2480	694
625	2484	690
626	2488	686
627	2493	682
628	2496	678
629	2500	674
630	2504	670
631	2508	666
632	2512	662
633	2515	658
634	2520	654
635	2523	650
636	2527	646
637	2530	642
638	2534	638
639	2538	634
640	2542	630
641	2546	626
642	2550	622
643	2556	619
644	2560	615
645	2566	611
646	2570	607
647	2574	603
648	2578	599
649	2582	596
650	2587	592
651	2591	588
652	2595	584
653	2599	580
654	2602	576
655	2606	572
656	2610	568
657	2614	564
658	2617	560
659	2621	555
660	2625	552
661	2628	548
662	2632	543
663	2636	539
664	2640	535
665	2643	531
666	2647	527
667	2650	523
668	2654	519
669	2658	515
670	2662	511
671	2665	507
672	2669	503
673	2673	499
674	2677	495
675	2680	491
676	2686	488
677	2690	484
678	2695	480
679	2700	476
680	2704	472
681	2707	468
682	2711	464
683	2715	460
684	2718	456
685	2722	452
686	2726	448
687	2730	444
688	2734	440
689	2739	436
690	2744	432
691	2748	428
692	2752	425
693	2757	421
694	2762	417
695	2766	413
696	2770	409
697	2775	405
698	2778	401
699	2782	397
700	2786	393
701	2789	389
702	2793	385
703	2797	381
704	2800	377
705	2804	373
706	2808	369
707	2812	365
708	2816	361
709	2820	357
710	2823	353
711	2827	349
712	2831	345
713	2834	341
714	2838	337
715	2841	333
716	2845	329
717	2849	325
718	2852	321
719	2856	317
720	2859	313
721	2864	309
722	2868	305
723	2871	301
724	2875	297
725	2879	293
726	2883	289
727	2886	285
728	2890	281
729	2894	277
730	2897	273
731	2901	269
732	2904	265
733	2908	261
734	2911	257
735	2915	253
736	2919	249
737	2922	245
738	2926	241
739	2929	237
740	2933	233
741	2937	229
742	2940	225
743	2944	221
744	2948	217
745	2951	213
746	2956	209
747	2960	205
748	2964	201
749	2968	197
750	2973	193
751	2977	190
752	2980	186
753	2984	182
754	2988	178
755	2991	174
756	2995	170
757	2999	166
758	3002	162
759	3006	158
760	3009	154
761	3013	150
762	3016	146
763	3020	142
764	3024	138
765	3027	134
766	3032	130
767	3036	126
768	3040	122
769	3044	118
770	3048	114
771	3052	110
772	3056	106
773	3061	102
774	3065	98
775	3069	94
776	3073	90
777	3077	87
778	3080	83
779	3084	79
780	3089	75
781	3093	71
782	3097	67
783	3101	63
784	3105	59
785	3109	55
786	3113	51
787	3117	47
788	3120	43
789	3124	39
790	3127	35
791	3131	31
792	3135	27
793	3138	23
794	3142	19
795	3147	15
796	3151	11
797	3155	7
798	3159	3
799	3164	0
